time,aX,aY,aZ,gX,gY,gZ
32364, -0.47, 0.17, 0.84, 0.43, -4.70, -1.40
32468, -0.49, 0.18, 0.84, -2.08, -7.32, -2.14
32573, -0.47, 0.12, 0.87, -6.29, -13.18, -2.01
32677, -0.44, 0.16, 0.88, 2.87, -8.61, -0.98
32781, -0.43, 0.15, 0.87, -0.55, -10.44, -0.55
32885, -0.43, 0.17, 0.90, 4.76, -6.65, -2.38
32989, -0.42, 0.10, 0.89, -1.89, -6.71, -3.78
33093, -0.41, 0.11, 0.90, 0.43, -2.93, -0.67
33197, -0.45, 0.13, 0.87, -2.14, -2.87, 2.38
33301, -0.44, 0.12, 0.88, 6.84, 1.34, 2.08
33404, -0.44, 0.15, 0.88, 6.90, -0.61, 2.26
33508, -0.44, 0.17, 0.87, 4.76, -2.56, 0.43
33612, -0.43, 0.11, 0.87, -1.77, -5.68, -2.62
33716, -0.44, 0.12, 0.88, 2.87, -3.23, -0.67
33820, -0.43, 0.13, 0.87, 3.60, -3.78, 0.00
33924, -0.43, 0.13, 0.88, 1.40, -4.58, -1.34
34028, -0.43, 0.14, 0.88, 2.56, -3.36, -1.59
34132, -0.44, 0.14, 0.88, 3.30, -3.30, -0.73
34236, -0.43, 0.13, 0.88, 2.32, -4.09, -0.85
34340, -0.43, 0.13, 0.87, 1.83, -3.85, -1.34
34444, -0.43, 0.13, 0.88, 3.17, -3.36, -0.67
34548, -0.44, 0.14, 0.87, 3.42, -3.05, -0.55
34652, -0.43, 0.14, 0.87, 2.20, -3.91, -1.04
34756, -0.43, 0.13, 0.88, 2.44, -3.60, -0.92
34860, -0.43, 0.13, 0.88, 2.26, -3.91, -0.67
34964, -0.43, 0.13, 0.87, 3.17, -3.05, -0.49
35068, -0.44, 0.14, 0.88, 2.75, -3.36, -0.43
35172, -0.43, 0.14, 0.87, 2.56, -3.66, -0.37
35275, -0.44, 0.13, 0.87, 2.20, -3.72, -0.37
35380, -0.43, 0.13, 0.87, 2.75, -3.42, -0.49
35484, -0.44, 0.14, 0.87, 2.75, -3.48, -0.37
35588, -0.43, 0.14, 0.87, 2.62, -3.54, -0.43
35692, -0.43, 0.14, 0.87, 2.14, -3.85, -0.79
35796, -0.43, 0.14, 0.87, 2.50, -3.66, -0.73
35899, -0.43, 0.14, 0.87, 2.56, -3.60, -0.92
36003, -0.43, 0.13, 0.87, 2.38, -3.78, -1.04
36107, -0.43, 0.14, 0.87, 2.75, -3.48, -0.73
36211, -0.43, 0.13, 0.87, 2.75, -3.60, -0.92
36315, -0.43, 0.13, 0.88, 2.38, -3.60, -0.98
36419, -0.43, 0.13, 0.87, 2.20, -3.78, -1.28
36523, -0.44, 0.14, 0.88, 2.99, -3.17, -0.98
36627, -0.43, 0.14, 0.87, 3.42, -3.11, -0.55
36731, -0.44, 0.14, 0.87, 2.93, -3.48, -0.79
36835, -0.44, 0.13, 0.89, 2.75, -2.93, -0.67
